Process #0
Mode 3 with 8 threads executed in 806 microseconds for 500 particles.
Process #1
Mode 3 with 8 threads executed in 669 microseconds for 500 particles.
Process #2
Mode 3 with 8 threads executed in 1204 microseconds for 500 particles.
Process #3
Mode 3 with 8 threads executed in 611 microseconds for 500 particles.
Process #4
Mode 3 with 8 threads executed in 933 microseconds for 500 particles.
Process #5
Mode 3 with 8 threads executed in 828 microseconds for 500 particles.
Process #6
Mode 3 with 8 threads executed in 760 microseconds for 500 particles.
Process #7
Mode 3 with 8 threads executed in 462 microseconds for 500 particles.
 Particle 0 x = 7, y = 5, force = 4.60288e-09
 Particle 478 x = 532, y = 526, force = 1.15072e-08
 Particle 479 x = 533, y = 527, force = 1.15072e-08
 Particle 480 x = 530, y = 533, force = 2.8768e-09
 Particle 481 x = 528, y = 535, force = 2.30144e-08
 Particle 482 x = 528, y = 536, force = 2.30144e-08
 Particle 483 x = 531, y = 534, force = 2.30144e-09
 Particle 484 x = 534, y = 533, force = 1.15072e-08
 Particle 485 x = 533, y = 532, force = 1.15072e-08
 Particle 486 x = 547, y = 545, force = 4.60288e-09
 Particle 487 x = 546, y = 543, force = 2.30144e-08
 Particle 488 x = 545, y = 543, force = 2.30144e-08
 Particle 489 x = 542, y = 542, force = 1.15072e-08
 Particle 490 x = 543, y = 543, force = 1.15072e-08
 Particle 491 x = 544, y = 545, force = 4.60288e-09
 Particle 492 x = 544, y = 548, force = 1.15072e-08
 Particle 493 x = 545, y = 549, force = 1.15072e-08
 Particle 494 x = 546, y = 551, force = 4.60288e-09
 Particle 495 x = 551, y = 544, force = 4.60288e-09
 Particle 496 x = 552, y = 546, force = 1.15072e-08
 Particle 497 x = 553, y = 547, force = 1.15072e-08
 Particle 498 x = 550, y = 553, force = 2.8768e-09
 Particle 499 x = 548, y = 555, force = 2.8768e-09
